name,index,lat,lon,out_degree,in_degree,log_traversals,mean_speed_kmh,mean_traffic_delay_min,mean_weather_delay_min,mean_load_factor,share_peak_season,share_weekend,is_waypoint_only
M1/M6 Junction,30,52.5861,-1.2125,498.0,498.0,6.904750769961838,62.71767068273088,6.868072289156619,6.873493975903615,0.6392851405622482,0.2429718875502008,0.3072289156626506,1.0
M25 J15 (M4),31,51.4736,-0.5083,96.0,96.0,5.262690188904886,62.47083333333339,7.422916666666668,5.541666666666667,0.6332708333333337,0.14583333333333334,0.3125,1.0
M5 J15 Almondsbury,32,51.5556,-2.5611,83.0,83.0,5.117993812416755,63.20963855421687,5.839759036144579,3.2409638554216866,0.6272771084337355,0.24096385542168675,0.30120481927710846,1.0
M6 J10 Walsall,33,52.6133,-1.9794,302.0,302.0,6.405228458030842,62.03377483443711,7.02814569536424,6.71523178807947,0.6214337748344376,0.2152317880794702,0.2781456953642384,1.0
M62 J26 Chain Bar,34,53.7297,-1.6653,309.0,309.0,6.428105272684596,62.379611650485494,8.401294498381876,3.9385113268608416,0.6352815533980581,0.18446601941747573,0.28802588996763756,1.0
M8/M74 Junction,35,55.8575,-4.2208,7.0,7.0,2.70805020110221,64.02857142857144,6.0,0.0,0.6747142857142857,0.14285714285714285,0.14285714285714285,1.0
Magna Park DC,36,52.4372,-1.1986,149.0,153.0,5.713732805509369,62.63178807947025,5.80364238410596,6.251655629139073,0.6423211920529803,0.1986754966887417,0.2682119205298013,0.0
Manchester Central,37,53.4808,-2.2426,163.0,188.0,5.863631175598097,62.43960113960123,6.979487179487179,5.413105413105413,0.6342991452991451,0.20797720797720798,0.2962962962962963,0.0
Milton Keynes,38,52.0406,-0.7594,277.0,277.0,6.318968113746434,62.338989169675095,7.5523465703971056,4.592057761732852,0.6383465703971123,0.20938628158844766,0.296028880866426,1.0
Newcastle Hub,39,54.9783,-1.6178,174.0,156.0,5.802118375377063,62.63424242424246,7.597575757575756,7.0181818181818185,0.6307575757575757,0.22121212121212122,0.30303030303030304,0.0
Northampton,40,52.2405,-0.9027,363.0,363.0,6.588926477533519,62.5471074380166,7.780991735537188,5.542699724517906,0.6419366391184576,0.1652892561983471,0.27823691460055094,1.0
Nottingham Hub,41,52.9548,-1.1581,154.0,178.0,5.808142489980444,62.683734939759034,6.754819277108435,5.876506024096385,0.6433493975903612,0.19879518072289157,0.25903614457831325,0.0
Omega Warrington,42,53.429,-2.6542,183.0,178.0,5.8916442118257715,62.51080332409975,6.582825484764545,4.390581717451523,0.6409058171745153,0.2299168975069252,0.2659279778393352,0.0
Oxford,43,51.752,-1.2577,210.0,210.0,6.042632833682381,62.37333333333335,8.585238095238093,4.0285714285714285,0.6310380952380948,0.2523809523809524,0.2761904761904762,1.0
Peterborough,44,52.5695,-0.2405,291.0,291.0,6.368187186350492,62.35910652920962,7.107560137457037,4.742268041237113,0.6322920962199314,0.17525773195876287,0.30584192439862545,1.0
Portsmouth Port,45,50.8025,-1.1088,168.0,154.0,5.777652323222656,62.24099378881995,6.854968944099378,4.720496894409938,0.6407236024844719,0.2111801242236025,0.2857142857142857,0.0
Preston,46,53.7632,-2.7031,176.0,176.0,5.8664680569332965,62.41647727272733,7.597727272727275,5.488636363636363,0.6458295454545459,0.2159090909090909,0.30113636363636365,1.0
ProLogis Park DC,47,52.5031,-1.7764,162.0,156.0,5.765191102784844,62.18805031446537,7.028930817610065,6.814465408805032,0.640603773584905,0.2389937106918239,0.2893081761006289,0.0
Reading,48,51.4543,-0.9781,130.0,130.0,5.564520407322694,62.31923076923074,7.149230769230772,6.6692307692307695,0.6559999999999999,0.15384615384615385,0.25384615384615383,1.0
Rugby,49,52.3708,-1.2651,393.0,393.0,6.668228248417403,62.12493638676834,6.3287531806615736,4.361323155216285,0.6357633587786259,0.22646310432569974,0.3384223918575064,1.0
Sheffield Hub,50,53.3811,-1.4701,179.0,164.0,5.840641657373398,62.72653061224488,6.095043731778428,7.093294460641399,0.6454518950437319,0.21282798833819241,0.29737609329446063,0.0
Southampton Port,51,50.8957,-1.3958,171.0,166.0,5.823045895483019,62.707418397626085,7.397922848664689,6.462908011869437,0.6290712166172101,0.21364985163204747,0.2878338278931751,0.0
Stafford,52,52.8066,-2.1167,411.0,411.0,6.71295620067707,62.700486618004824,7.0525547445255485,6.090024330900243,0.6481557177615564,0.21897810218978103,0.2773722627737226,1.0
Stoke-on-Trent,53,53.0027,-2.1794,375.0,375.0,6.621405651764134,62.568533333333356,6.470400000000006,5.568,0.6467280000000004,0.256,0.30666666666666664,1.0
Swindon,54,51.5558,-1.7797,129.0,129.0,5.556828061699537,62.22170542635654,5.693023255813954,3.7131782945736433,0.65029457364341,0.2713178294573643,0.29457364341085274,1.0
Tamworth,55,52.6336,-1.691,449.0,449.0,6.80128303447162,62.43318485523385,6.47305122494432,6.033407572383074,0.636683741648107,0.2182628062360802,0.2873051224944321,1.0
Teesport,56,54.6233,-1.1723,166.0,157.0,5.780743515792329,62.20650154798764,6.511455108359131,4.41795665634675,0.6459659442724459,0.19195046439628483,0.2724458204334365,0.0
Tibshelf Services,57,53.1417,-1.3389,547.0,547.0,6.9985096422506015,62.21663619744056,7.625411334552098,6.886654478976234,0.6427714808043886,0.21389396709323583,0.26691042047531993,1.0
Tilbury Port,58,51.4545,0.3584,165.0,183.0,5.855071922202427,62.510919540229935,6.3916666666666675,5.735632183908046,0.6351091954022987,0.19827586206896552,0.2672413793103448,0.0
Toddington Services,59,51.9528,-0.5286,111.0,111.0,5.407171771460119,63.080180180180115,7.952252252252252,6.018018018018018,0.643963963963964,0.17117117117117117,0.2882882882882883,1.0
Trafford Park DC,60,53.4668,-2.3141,141.0,144.0,5.655991810819852,62.43684210526318,7.178947368421053,6.196491228070175,0.627614035087719,0.1649122807017544,0.2982456140350877,0.0
Warrington,61,53.39,-2.597,292.0,292.0,6.371611847231857,62.63287671232878,8.588356164383553,4.756849315068493,0.6566130136986301,0.1678082191780822,0.339041095890411,1.0
Watford Gap,62,52.3067,-1.1222,391.0,391.0,6.663132695990803,62.783375959079336,7.568797953964196,6.41687979539642,0.6294424552429684,0.21227621483375958,0.2557544757033248,1.0
Wetherby Services,63,53.9444,-1.3847,280.0,280.0,6.329720905522696,62.25892857142852,6.94857142857143,5.167857142857143,0.6352035714285713,0.22857142857142856,0.29285714285714287,1.0
Wolverhampton,64,52.5861,-2.1289,363.0,363.0,6.588926477533519,62.66887052341588,8.075482093663913,4.641873278236915,0.6427906336088146,0.24517906336088155,0.2865013774104683,1.0
Woodall Services,65,53.3258,-1.2031,391.0,391.0,6.663132695990803,62.331202046035905,6.739897698209716,5.585677749360614,0.6413989769820961,0.21739130434782608,0.21483375959079284,1.0
York,66,53.96,-1.0873,218.0,218.0,6.07993319509559,62.58440366972477,6.742660550458714,5.605504587155964,0.6312798165137616,0.18807339449541285,0.27522935779816515,1.0
iPort Doncaster,67,53.4939,-1.0042,171.0,175.0,5.849324779946859,62.22369942196534,7.164739884393062,4.5491329479768785,0.6299739884393064,0.2023121387283237,0.27167630057803466,0.0
