source,destination,src_index,dst_index,traversals,segment_km,allocated_km,delta_lat,delta_lon,src_lat,src_lon,dst_lat,dst_lon,log_traversals,src_out_degree,dst_in_degree,mean_avg_speed_kmh,mean_traffic_delay_minutes,mean_weather_delay_minutes,mean_vehicle_max_weight_kg,mean_vehicle_length_m,mean_vehicle_width_m,mean_vehicle_height_m,mean_cargo_volume_m3,mean_cargo_weight_kg,mean_load_factor,mean_breaks_required,share_peak_season,share_weekend,share_compliant,share_adverse_weather,target_cheapest,target_fastest,target_greenest
Edinburgh Hub,Wetherby Services,16,63,14.0,251.30494050718366,319.6177628056022,2.008899999999997,1.8035999999999999,55.9533,-3.1883,53.9444,-1.3847,2.70805020110221,167.0,280.0,61.67857142857143,5.1000000000000005,15.928571428571429,25857.14285714286,11.785714285714286,2.507142857142857,3.6999999999999993,63.214285714285715,15000.714285714286,0.5785714285714285,1.4285714285714286,0.35714285714285715,0.42857142857142855,1.0,0.2857142857142857,626.2351574657566,5.826128860935287,266.63154316589777
Knutsford Services,Sheffield Hub,23,50,7.0,63.35506285707929,78.57439372603449,0.08220000000000027,0.9443000000000001,53.2989,-2.4144,53.3811,-1.4701,2.0794415416798357,242.0,164.0,62.32857142857142,2.542857142857143,6.0,32857.142857142855,14.0,2.528571428571429,3.8285714285714287,77.85714285714286,21467.428571428572,0.6465714285714286,1.1428571428571428,0.5714285714285714,0.2857142857142857,1.0,0.14285714285714285,152.85233429782403,1.4047269256649952,64.0365361313681
London Central,Rugby,28,49,11.0,123.67160671378878,153.4186812654436,0.8634000000000057,1.1373,51.5074,-0.1278,52.3708,-1.2651,2.4849066497880004,178.0,393.0,65.88181818181819,8.681818181818182,9.818181818181818,36727.27272727273,14.045454545454545,2.522727272727273,3.8909090909090907,81.81818181818181,26891.636363636364,0.7329999999999999,0.9090909090909091,0.18181818181818182,0.36363636363636365,0.8181818181818182,0.18181818181818182,363.1214811672455,2.6346812029023323,123.75038610039111
Rugby,Stafford,49,52,17.0,75.21812410624314,94.5165149875286,0.4358000000000004,0.8515999999999999,52.3708,-1.2651,52.8066,-2.1167,2.8903717578961645,393.0,411.0,64.41176470588236,6.458823529411766,5.176470588235294,32588.235294117647,13.235294117647058,2.5176470588235293,3.8176470588235287,75.29411764705883,21798.470588235294,0.6652941176470589,1.0,0.17647058823529413,0.35294117647058826,0.9411764705882353,0.11764705882352941,204.07153411710524,1.6592076486536604,77.8436723221568
Stafford,Liverpool Port,52,27,20.0,88.82769145009553,109.95608207820212,0.5986999999999938,0.8810000000000002,52.8066,-2.1167,53.4053,-2.9977,3.044522437723423,411.0,161.0,63.394999999999996,2.3,0.75,32400.0,13.05,2.5149999999999997,3.814999999999999,74.75,22793.85,0.6991499999999999,0.8,0.1,0.4,0.85,0.05,229.1391322069977,1.922165056552754,90.63835053120975
Trafford Park DC,Preston,60,46,6.0,41.76871059162545,53.88443935249112,0.29639999999999844,0.38900000000000023,53.4668,-2.3141,53.7632,-2.7031,1.9459101490553132,141.0,176.0,60.96666666666666,9.733333333333333,8.166666666666666,39666.666666666664,15.75,2.5416666666666665,3.966666666666667,90.83333333333333,24704.333333333332,0.6131666666666666,1.1666666666666667,0.0,0.16666666666666666,1.0,0.5,107.93919316142437,1.0079065587047287,47.138927603421706
Preston,Tibshelf Services,46,57,6.0,113.7314544584973,145.13225014628733,0.6214999999999975,1.3642,53.7632,-2.7031,53.1417,-1.3389,1.9459101490553132,176.0,547.0,60.0,9.5,3.8333333333333335,35000.0,14.25,2.525,3.9000000000000004,82.5,23523.666666666668,0.6785000000000001,1.0,0.16666666666666666,0.16666666666666666,1.0,0.3333333333333333,289.68801543254665,2.746522252916525,125.03488821604579
Tibshelf Services,Hull Port,57,22,27.0,94.4013607694256,119.45097158962295,0.5915999999999997,1.0222,53.1417,-1.3389,53.7333,-0.3167,3.332204510175204,547.0,151.0,62.56666666666666,7.455555555555554,0.8518518518518519,31777.777777777777,13.222222222222221,2.5185185185185186,3.807407407407407,74.62962962962963,21108.333333333332,0.6623333333333333,0.6296296296296297,0.18518518518518517,0.3333333333333333,0.8888888888888888,0.07407407407407407,235.3508414736357,2.066070448518232,103.21487006056105
DIRFT Daventry,Tamworth,11,55,23.0,55.1552581475979,69.78257813398933,0.3762000000000043,0.5304,52.2574,-1.1606,52.6336,-1.691,3.1780538303479458,163.0,449.0,61.67391304347825,7.039130434782609,12.73913043478261,29913.043478260868,12.847826086956522,2.5152173913043474,3.7826086956521734,70.43478260869566,20856.391304347828,0.6911304347826088,0.30434782608695654,0.34782608695652173,0.5217391304347826,1.0,0.30434782608695654,136.0819562472606,1.1944675544754073,58.842135228148535
Tamworth,Tibshelf Services,55,57,20.0,61.23797881953519,77.66288265882523,0.5080999999999989,0.3521000000000001,52.6336,-1.691,53.1417,-1.3389,3.044522437723423,449.0,547.0,61.825,9.135000000000002,13.9,29600.0,12.725,2.5125,3.789999999999999,70.0,20455.5,0.68265,0.5,0.35,0.4,1.0,0.3,151.04199785948398,1.3372300297705306,64.7832439475242
Tibshelf Services,Omega Warrington,57,42,15.0,93.0872253691741,118.25895688484539,0.2873000000000019,1.3153,53.1417,-1.3389,53.429,-2.6542,2.772588722239781,547.0,178.0,60.68,5.12,4.133333333333334,32933.333333333336,13.533333333333333,2.52,3.8399999999999994,76.33333333333333,19533.4,0.6058000000000001,0.8,0.13333333333333333,0.2,1.0,0.13333333333333333,248.24705648170044,2.126432273984922,101.53909472640206
Cardiff Bay,Wolverhampton,6,64,12.0,142.2799164071321,178.52445286232864,1.1045000000000016,1.0502000000000002,51.4816,-3.1791,52.5861,-2.1289,2.5649493574615367,186.0,363.0,63.18333333333333,7.45,3.25,30666.666666666668,12.416666666666666,2.5083333333333333,3.7833333333333328,70.83333333333333,21133.5,0.6973333333333335,0.8333333333333334,0.08333333333333333,0.25,1.0,0.08333333333333333,361.2059603446939,3.114806215298845,153.95304126075825
Wolverhampton,Rugby,64,49,21.0,63.208917742989485,79.57455477703617,0.21529999999999916,0.8637999999999999,52.5861,-2.1289,52.3708,-1.2651,3.091042453358316,363.0,393.0,62.48571428571429,9.40952380952381,5.142857142857143,29523.809523809523,12.619047619047619,2.514285714285714,3.7571428571428562,70.23809523809524,18817.714285714286,0.6434761904761904,0.7142857142857143,0.23809523809523808,0.3333333333333333,1.0,0.09523809523809523,161.03156226993428,1.3975545443601558,67.78548503379169
Rugby,M25 J15 (M4),49,31,3.0,112.45488523221853,136.2609249584971,0.8972000000000051,0.7567999999999999,52.3708,-1.2651,51.4736,-0.5083,1.3862943611198906,393.0,96.0,59.199999999999996,5.066666666666666,0.0,30000.0,12.0,2.5,3.7999999999999994,68.33333333333333,21312.666666666668,0.7113333333333333,1.0,0.0,0.6666666666666666,1.0,0.0,303.72697020662883,2.5219023414126442,120.53813458577527
M25 J15 (M4),London Gateway DC,31,29,13.0,65.54139703789029,80.55977953306623,0.035000000000003695,0.945,51.4736,-0.5083,51.5086,0.4367,2.6390573296152584,96.0,172.0,60.48461538461538,11.184615384615382,0.0,35538.46153846154,14.615384615384615,2.5307692307692307,3.8999999999999995,81.53846153846153,20927.76923076923,0.6001538461538461,0.38461538461538464,0.15384615384615385,0.3076923076923077,1.0,0.0,177.33122359218018,1.3860089812461607,68.6854267359104
ProLogis Park DC,Stafford,47,52,8.0,40.814102104251226,51.165332892516716,0.30349999999999966,0.3402999999999998,52.5031,-1.7764,52.8066,-2.1167,2.1972245773362196,162.0,411.0,64.575,11.3,5.75,28000.0,12.0625,2.50625,3.75,66.25,20159.625,0.72025,1.75,0.25,0.0,0.875,0.25,100.30285884292546,0.8939674175508304,43.708305177624
Stafford,Oxford,52,43,8.0,131.01833363810076,164.24706927260792,1.0546000000000006,0.8589999999999998,52.8066,-2.1167,51.752,-1.2577,2.1972245773362196,411.0,210.0,64.575,11.3,5.75,28000.0,12.0625,2.50625,3.75,66.25,20159.625,0.72025,1.75,0.25,0.0,0.875,0.25,321.9846265678083,2.869746370386672,140.30908473474366
Oxford,Dover Port,43,14,4.0,191.2295564510095,240.85569540655513,0.6241000000000057,2.5711,51.752,-1.2577,51.1279,1.3134,1.6094379124341003,210.0,180.0,68.64999999999999,2.625,9.0,35500.0,14.25,2.525,3.9000000000000004,81.25,23704.0,0.64725,1.0,0.25,0.25,1.0,0.25,484.6273903727306,3.933366806283529,206.69896539627672
London Central,Reading,28,48,17.0,59.17792611375663,74.7136635393018,0.053099999999993486,0.8503,51.5074,-0.1278,51.4543,-0.9781,2.8903717578961645,178.0,130.0,62.52352941176471,7.152941176470588,1.4705882352941178,34470.58823529412,14.0,2.5235294117647054,3.8764705882352937,79.41176470588235,22301.0,0.6515294117647058,0.17647058823529413,0.29411764705882354,0.29411764705882354,1.0,0.058823529411764705,188.3258129834378,1.2273114239246978,62.22007306139514
Reading,Portsmouth Port,48,45,48.0,73.04855186343498,91.96327144885515,0.6518000000000015,0.13070000000000004,51.4543,-0.9781,50.8025,-1.1088,3.8918202981106265,130.0,154.0,62.191666666666684,6.602083333333334,3.9583333333333335,30625.0,13.0,2.516666666666666,3.791666666666668,72.60416666666667,20727.9375,0.6751874999999998,0.2708333333333333,0.14583333333333334,0.3125,0.9375,0.125,193.1813210890472,1.5449233507064337,77.30120029980243
Leeds Central,Trafford Park DC,25,60,5.0,62.636012313769996,79.44000000000001,0.3340000000000032,0.7649999999999999,53.8008,-1.5491,53.4668,-2.3141,1.791759469228055,177.0,144.0,62.239999999999995,8.1,30.2,30800.0,12.9,2.5100000000000002,3.84,73.0,20255.8,0.6368000000000001,0.0,0.0,0.4,0.8,0.4,159.276,1.284,65.186
Bristol Port,Toddington Services,4,59,9.0,158.32970759454244,199.52400948710977,0.44250000000000256,2.1853000000000002,51.5103,-2.7139,51.9528,-0.5286,2.302585092994046,171.0,111.0,61.71111111111112,11.899999999999999,13.222222222222221,28000.0,11.833333333333334,2.5055555555555555,3.7222222222222223,66.11111111111111,16613.777777777777,0.6151111111111112,1.0,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.1111111111111111,394.7499474196039,3.6060609145219726,168.24297013052652
Toddington Services,Hull Port,59,22,3.0,198.4934305985238,251.56817525597162,1.7804999999999964,0.21189999999999998,51.9528,-0.5286,53.7333,-0.3167,1.3862943611198906,111.0,151.0,58.300000000000004,5.5,0.0,27333.333333333332,11.333333333333334,2.5,3.6999999999999997,63.333333333333336,18294.0,0.6933333333333334,1.0,0.0,0.3333333333333333,1.0,0.0,495.6173046605173,4.750627736461998,203.20337305060931
Liverpool Port,Omega Warrington,27,42,9.0,22.915945520205895,28.67777777777778,0.02370000000000516,0.34350000000000014,53.4053,-2.9977,53.429,-2.6542,2.302585092994046,167.0,178.0,61.08888888888888,9.055555555555555,1.5555555555555556,33777.77777777778,13.5,2.516666666666667,3.866666666666667,76.66666666666667,21886.222222222223,0.6472222222222221,0.0,0.3333333333333333,0.4444444444444444,0.8888888888888888,0.1111111111111111,64.43333333333334,0.47111111111111115,24.290000000000003
Edinburgh Hub,Lancaster,16,24,14.0,213.41569198660525,268.09560465816145,1.9063999999999979,0.38729999999999976,55.9533,-3.1883,54.0469,-2.801,2.70805020110221,167.0,125.0,63.15000000000001,5.614285714285714,9.571428571428571,28857.14285714286,12.892857142857142,2.517857142857143,3.764285714285714,69.64285714285714,17621.14285714286,0.602142857142857,1.9285714285714286,0.07142857142857142,0.42857142857142855,0.8571428571428571,0.21428571428571427,523.1291941783411,4.831842503586742,223.39168648286733
Lancaster,York,24,66,28.0,112.4094221790532,140.29225326819244,0.08689999999999998,1.7137000000000002,54.0469,-2.801,53.96,-1.0873,3.367295829986474,125.0,218.0,64.17500000000001,6.757142857142857,6.964285714285714,30428.571428571428,13.196428571428571,2.5196428571428564,3.7928571428571423,72.5,19392.39285714286,0.6399999999999999,1.6428571428571428,0.17857142857142858,0.39285714285714285,0.9285714285714286,0.17857142857142858,273.12240820760974,2.473103914032172,116.49266043992354
York,Warrington,66,61,14.0,117.9185378437053,148.13082116566503,0.5700000000000003,1.5097,53.96,-1.0873,53.39,-2.597,2.70805020110221,218.0,292.0,63.15000000000001,5.614285714285714,9.571428571428571,28857.14285714286,12.892857142857142,2.517857142857143,3.764285714285714,69.64285714285714,17621.14285714286,0.602142857142857,1.9285714285714286,0.07142857142857142,0.42857142857142855,0.8571428571428571,0.21428571428571427,289.04448921561715,2.669737158548667,123.43057247239567
Warrington,Grimsby Port,61,20,4.0,168.1313980149632,208.71648001031951,0.18500000000000227,2.522,53.39,-2.597,53.575,-0.075,1.6094379124341003,292.0,166.0,61.099999999999994,0.0,13.25,27000.0,12.125,2.5125,3.7,65.0,18183.0,0.6377499999999999,2.25,0.0,0.25,1.0,0.25,410.95638109973817,3.9073802399325195,175.8788235002537
Teesport,Woodall Services,56,65,13.0,144.289672959638,176.67691463989252,1.2974999999999994,0.03080000000000016,54.6233,-1.1723,53.3258,-1.2031,2.6390573296152584,166.0,391.0,61.192307692307686,2.792307692307692,4.384615384615385,30000.0,12.923076923076923,2.5153846153846158,3.7923076923076917,71.53846153846153,21338.0,0.7123846153846153,1.1538461538461537,0.23076923076923078,0.23076923076923078,0.9230769230769231,0.23076923076923078,354.00608797073426,3.257632806092488,145.25031180233265
Woodall Services,Stoke-on-Trent,65,53,13.0,74.34083374551994,91.61669331478478,0.3231000000000037,0.9762999999999997,53.3258,-1.2031,53.0027,-2.1794,2.6390573296152584,391.0,375.0,60.77692307692307,10.438461538461537,7.461538461538462,31384.615384615383,13.076923076923077,2.5153846153846158,3.815384615384615,73.84615384615384,21018.0,0.6583076923076923,0.6153846153846154,0.15384615384615385,0.07692307692307693,0.9230769230769231,0.3076923076923077,183.061693504949,1.6317028058482288,76.740636056478
Stoke-on-Trent,East Midlands Gateway,53,15,8.0,60.162239872731675,74.24411029446581,0.17139999999999844,0.8510999999999997,53.0027,-2.1794,52.8313,-1.3283,2.1972245773362196,375.0,178.0,63.262499999999996,6.7,9.0,27000.0,12.375,2.5125,3.7375000000000003,66.875,17834.0,0.644125,0.625,0.125,0.125,0.875,0.25,145.40246133340733,1.2884306062453081,61.58459613941485
Bristol DC,Oxford,3,43,6.0,97.64113321066777,123.91750425894406,0.29749999999999943,1.3301999999999998,51.4545,-2.5879,51.752,-1.2577,1.9459101490553132,160.0,210.0,61.78333333333333,9.483333333333333,12.166666666666666,28666.666666666668,12.833333333333334,2.5166666666666666,3.766666666666667,70.0,17803.166666666668,0.6451666666666666,1.0,0.5,0.5,1.0,0.3333333333333333,256.82952881857983,2.28561004797645,103.87772392730363
Oxford,Frankley Services,43,18,6.0,91.00464786641957,115.49506308206874,0.6707999999999998,0.7630999999999999,51.752,-1.2577,52.4228,-2.0208,1.9459101490553132,210.0,300.0,61.78333333333333,9.483333333333333,12.166666666666666,28666.666666666668,12.833333333333334,2.5166666666666666,3.766666666666667,70.0,17803.166666666668,0.6451666666666666,1.0,0.5,0.5,1.0,0.3333333333333333,239.37330572971823,2.1302614045585666,96.81734916751856
Frankley Services,Wolverhampton,18,64,21.0,19.576831152643155,24.40239068817692,0.16329999999999956,0.10809999999999986,52.4228,-2.0208,52.5861,-2.1289,3.091042453358316,300.0,363.0,61.76666666666665,1.9380952380952383,5.9523809523809526,27809.52380952381,12.428571428571429,2.5142857142857142,3.7285714285714286,68.33333333333333,17743.761904761905,0.6495714285714285,0.8571428571428571,0.23809523809523808,0.23809523809523808,0.9523809523809523,0.14285714285714285,48.9761539554226,0.4389279292798196,20.818543386679373
Wolverhampton,ProLogis Park DC,64,47,13.0,25.561239722520217,32.18132516728463,0.08299999999999841,0.3524999999999998,52.5861,-2.1289,52.5031,-1.7764,2.6390573296152584,363.0,156.0,63.25384615384616,10.5,2.3076923076923075,34153.846153846156,14.115384615384615,2.526923076923077,3.8615384615384616,79.23076923076923,21111.30769230769,0.6255384615384615,0.5384615384615384,0.15384615384615385,0.38461538461538464,0.8461538461538461,0.15384615384615385,64.06177340287235,0.5509401725177726,27.62611881352275
Magna Park DC,M1/M6 Junction,36,30,26.0,16.583646939085728,20.58291676379423,0.1489000000000047,0.013899999999999801,52.4372,-1.1986,52.5861,-1.2125,3.295836866004329,149.0,498.0,63.58846153846154,2.6999999999999997,3.3846153846153846,32461.53846153846,13.346153846153847,2.5192307692307687,3.8192307692307685,75.1923076923077,21740.115384615383,0.6732307692307693,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.9615384615384616,0.15384615384615385,44.660116530178364,0.32834523160639517,17.617811531270913
M1/M6 Junction,Leicester Forest East,30,26,9.0,4.598344985238488,5.797218071134659,0.03059999999999974,0.04579999999999984,52.5861,-1.2125,52.6167,-1.1667,2.302585092994046,498.0,425.0,63.30000000000002,5.611111111111111,4.333333333333333,29555.555555555555,12.555555555555555,2.511111111111111,3.7777777777777777,70.55555555555556,20559.555555555555,0.6839999999999999,0.0,0.2222222222222222,0.3333333333333333,0.8888888888888888,0.2222222222222222,11.777988646584943,0.09212132447616364,4.955211249747953
Leicester Forest East,Nottingham Hub,26,41,13.0,37.59950491953935,47.00178247434398,0.3380999999999972,0.008600000000000163,52.6167,-1.1667,52.9548,-1.1581,2.6390573296152584,425.0,178.0,63.93076923076923,3.661538461538462,4.3076923076923075,35230.769230769234,14.115384615384615,2.526923076923077,3.861538461538461,81.15384615384616,22469.30769230769,0.6393076923076921,0.46153846153846156,0.23076923076923078,0.15384615384615385,0.9230769230769231,0.15384615384615385,92.96783967495301,0.7851034053047031,39.62552076688826
Glasgow Central,Woodall Services,19,65,19.0,343.79173277458733,432.84519509188755,2.5383999999999958,3.0487,55.8642,-4.2518,53.3258,-1.2031,2.995732273553991,155.0,391.0,63.11052631578948,5.294736842105263,5.473684210526316,28842.105263157893,12.552631578947368,2.5131578947368416,3.757894736842105,68.94736842105263,17140.105263157893,0.5823157894736842,2.1052631578947367,0.21052631578947367,0.21052631578947367,0.8421052631578947,0.2631578947368421,855.2873747461705,7.793326160627802,366.40160376232836
Woodall Services,Coventry,65,10,44.0,104.37448662319466,131.48113757243007,0.919000000000004,0.3166,53.3258,-1.2031,52.4068,-1.5197,3.8066624897703196,391.0,520.0,62.74545454545455,6.761363636363635,8.272727272727273,29681.81818181818,12.636363636363637,2.5136363636363632,3.7659090909090907,70.45454545454545,18799.909090909092,0.6307954545454547,2.0681818181818183,0.22727272727272727,0.20454545454545456,0.9318181818181818,0.22727272727272727,260.2683726100223,2.3757647653058043,111.49151363902469
Coventry,Cardiff Bay,10,6,14.0,153.35827210825437,194.16281153575142,0.9251999999999967,1.6594,52.4068,-1.5197,51.4816,-3.1791,2.70805020110221,520.0,183.0,61.107142857142854,7.935714285714286,6.214285714285714,31571.428571428572,13.321428571428571,2.517857142857143,3.8285714285714283,74.64285714285714,20469.14285714286,0.6232142857142857,1.0714285714285714,0.21428571428571427,0.21428571428571427,1.0,0.14285714285714285,386.9994136856131,3.5337562354558405,160.04676730308714
Bristol Port,Swindon,4,54,14.0,64.81626039475735,81.67108726809468,0.04549999999999699,0.9342000000000001,51.5103,-2.7139,51.5558,-1.7797,2.70805020110221,171.0,129.0,62.30000000000001,2.7857142857142856,6.285714285714286,29571.428571428572,13.035714285714286,2.517857142857143,3.7857142857142856,70.35714285714286,18073.571428571428,0.6191428571428571,0.0,0.21428571428571427,0.07142857142857142,0.9285714285714286,0.14285714285714285,156.9482927002102,1.3160701236781518,66.28978302112445
Swindon,Reading,54,48,12.0,56.617071771672734,71.54511951100157,0.10149999999999437,0.8016000000000001,51.5558,-1.7797,51.4543,-0.9781,2.5649493574615367,129.0,130.0,61.6,4.566666666666666,6.416666666666667,30333.333333333332,13.0,2.516666666666667,3.7916666666666665,72.08333333333333,19558.583333333332,0.63325,0.0,0.08333333333333333,0.25,0.9166666666666666,0.16666666666666666,141.85593392630858,1.1639702569597996,59.57890711515905
Portsmouth Port,A1/A14 Junction,45,1,15.0,180.26674141303278,221.78952329198674,1.5307999999999993,0.8588,50.8025,-1.1088,52.3333,-0.25,2.772588722239781,168.0,259.0,61.26666666666668,10.853333333333332,4.6,35466.666666666664,14.133333333333333,2.5266666666666664,3.8666666666666663,82.0,22706.4,0.6563333333333332,1.0,0.26666666666666666,0.2,1.0,0.2,438.90244503434076,4.008824916685734,187.44123611213178
A1/A14 Junction,Derby,1,12,13.0,105.47441738073583,130.38039169090123,0.5893000000000015,1.2246,52.3333,-0.25,52.9226,-1.4746,2.6390573296152584,259.0,391.0,61.10000000000001,10.392307692307693,3.230769230769231,35076.92307692308,14.115384615384615,2.526923076923077,3.8615384615384616,81.53846153846153,21972.846153846152,0.6452307692307693,1.0,0.3076923076923077,0.23076923076923078,1.0,0.15384615384615385,258.3680095495264,2.3509014229805336,111.58802567084523
Derby,iPort Doncaster,12,67,13.0,70.82952211879498,88.93231869114223,0.5712999999999937,0.47039999999999993,52.9226,-1.4746,53.4939,-1.0042,2.6390573296152584,391.0,175.0,61.47692307692308,7.638461538461538,4.615384615384615,34307.692307692305,13.615384615384615,2.523076923076923,3.8230769230769233,79.23076923076923,21439.846153846152,0.6114615384615385,0.8461538461538461,0.3076923076923077,0.46153846153846156,1.0,0.07692307692307693,175.19950982692302,1.6050063824897263,75.05623540157318
Southampton Port,M25 J15 (M4),51,31,32.0,89.19310057763182,111.97858035001364,0.5778999999999996,0.8875,50.8957,-1.3958,51.4736,-0.5083,3.4965075614664802,171.0,96.0,62.91562499999999,6.628124999999999,10.0,31562.5,13.09375,2.5156249999999996,3.815624999999999,73.75,19598.3125,0.6280937499999999,0.4375,0.125,0.3125,0.96875,0.1875,229.6832176405263,1.8925622742859924,95.60160874879159
M25 J15 (M4),London Central,31,28,18.0,26.61063117853598,32.97118914162073,0.033799999999999386,0.38049999999999995,51.4736,-0.5083,51.5074,-0.1278,2.9444389791664403,96.0,156.0,61.94444444444443,8.761111111111111,6.5,29555.555555555555,12.805555555555555,2.513888888888889,3.7888888888888883,70.55555555555556,19477.333333333332,0.6568888888888889,0.0,0.1111111111111111,0.3333333333333333,0.9444444444444444,0.2777777777777778,84.96024473464644,0.5339476876819698,27.37136973444692
