Source_Depot,Destination_Depot,Road_Type,Distance_km,Vehicle_Load_ton,Emission_Zone,HGV_Restricted,Toll_Road,Toll_Cost_GBP,Accident_Risk_Flag,Estimated_Time_Min
Depot_12,Depot_47,0,249.74,13.22,0,0,0,0.0,0,187.31
Depot_13,Depot_47,1,381.58,8.75,0,0,0,0.0,0,357.73
Depot_13,Depot_39,2,220.08,16.26,0,0,1,10.8,0,275.1
Depot_13,Depot_32,0,55.99,9.8,1,0,0,0.0,1,41.99
Depot_13,Depot_9,0,188.65,9.79,1,1,0,0.0,0,141.49
Depot_13,Depot_8,0,70.0,6.38,0,0,0,0.0,1,52.5
Depot_14,Depot_35,0,138.87,6.7,1,1,1,10.8,0,104.15
Depot_14,Depot_25,2,414.16,18.32,0,0,0,0.0,0,517.7
Depot_14,Depot_21,0,558.02,6.52,0,0,0,0.0,0,418.51
Depot_14,Depot_2,1,296.02,7.2,0,0,0,0.0,0,277.52
Depot_15,Depot_47,1,183.8,17.19,1,1,0,0.0,0,172.31
Depot_15,Depot_11,2,230.06,12.23,0,0,0,0.0,0,287.57
Depot_15,Depot_30,1,153.63,12.39,0,0,0,0.0,0,144.03
Depot_15,Depot_44,0,231.54,17.34,0,0,0,0.0,0,173.66
Depot_16,Depot_13,0,232.56,6.24,0,0,0,0.0,1,174.42
Depot_16,Depot_36,0,77.61,5.65,1,0,1,10.8,0,58.21
Depot_16,Depot_18,2,446.72,15.43,0,0,0,0.0,0,558.4
Depot_16,Depot_42,0,346.85,14.41,0,1,0,0.0,0,260.14
Depot_17,Depot_22,1,476.81,11.83,0,0,0,0.0,0,447.01
Depot_17,Depot_36,1,641.08,8.44,0,0,0,0.0,0,601.01
Depot_17,Depot_26,2,41.84,13.04,0,0,0,0.0,0,52.3
Depot_17,Depot_49,1,708.55,6.14,1,0,0,0.0,1,664.27
Depot_18,Depot_10,1,206.09,18.99,1,0,0,0.0,0,193.21
Depot_18,Depot_23,0,203.79,12.21,1,0,0,0.0,0,152.84
Depot_18,Depot_42,2,109.83,17.63,1,0,0,0.0,0,137.29
Depot_18,Depot_5,2,468.68,17.97,1,1,1,10.8,0,585.85
Depot_19,Depot_17,0,250.18,15.89,0,0,0,0.0,0,187.63
Depot_19,Depot_49,0,467.72,19.31,0,0,0,0.0,0,350.79
Depot_19,Depot_29,2,430.13,6.7,0,0,0,0.0,0,537.66
Depot_19,Depot_14,0,191.52,13.28,0,0,0,0.0,0,143.64
Depot_19,Depot_43,2,95.04,11.31,0,0,0,0.0,1,118.8
Depot_20,Depot_24,1,320.33,10.26,0,0,0,0.0,1,300.31
Depot_20,Depot_45,0,107.8,12.71,0,0,0,0.0,0,80.85
Depot_20,Depot_11,0,129.84,16.95,0,0,0,0.0,0,97.38
Depot_20,Depot_29,0,98.7,19.7,0,0,0,0.0,0,74.03
Depot_21,Depot_1,2,488.75,13.06,0,0,0,0.0,0,610.94
Depot_21,Depot_3,0,26.71,18.45,0,0,0,0.0,0,20.03
Depot_21,Depot_36,2,50.78,17.33,0,0,0,0.0,0,63.47
Depot_22,Depot_13,0,82.35,11.91,0,0,0,0.0,0,61.76
Depot_22,Depot_24,0,297.79,6.38,0,0,0,0.0,0,223.34
Depot_22,Depot_46,0,338.54,5.04,1,0,0,0.0,1,253.91
Depot_22,Depot_23,2,77.45,10.56,0,0,0,0.0,0,96.81
Depot_22,Depot_27,0,257.69,5.94,0,0,0,0.0,0,193.27
Depot_23,Depot_30,2,129.9,12.98,0,0,0,0.0,0,162.38
Depot_23,Depot_47,0,306.91,16.06,0,0,0,0.0,0,230.18
Depot_23,Depot_1,1,283.04,6.8,1,0,0,0.0,0,265.35
Depot_24,Depot_3,0,463.04,12.19,0,0,0,0.0,0,347.28
Depot_24,Depot_16,2,488.95,10.68,0,0,0,0.0,0,611.19
Depot_24,Depot_38,2,158.37,19.8,0,0,0,0.0,0,197.96
Depot_25,Depot_24,2,388.79,12.32,1,0,0,0.0,0,485.99
Depot_25,Depot_49,0,703.78,6.2,0,0,1,10.8,0,527.84
Depot_25,Depot_28,1,647.51,13.64,1,0,1,10.8,0,607.04
Depot_25,Depot_37,1,176.7,15.03,1,0,0,0.0,0,165.66
Depot_26,Depot_4,0,241.26,7.81,0,0,0,0.0,0,180.94
Depot_26,Depot_43,2,181.46,15.61,0,0,0,0.0,1,226.83
Depot_26,Depot_15,0,395.21,12.99,0,0,0,0.0,0,296.41
Depot_27,Depot_32,1,277.59,9.84,1,0,0,0.0,0,260.24
Depot_27,Depot_2,2,469.91,12.1,0,0,0,0.0,0,587.39
Depot_27,Depot_11,1,332.9,6.86,0,1,0,0.0,0,312.09
Depot_27,Depot_36,1,398.78,5.72,0,0,0,0.0,0,373.86
Depot_28,Depot_2,2,49.21,7.46,1,0,0,0.0,0,61.51
Depot_28,Depot_41,0,174.26,13.82,0,0,0,0.0,0,130.69
Depot_28,Depot_16,0,374.48,9.52,0,0,0,0.0,0,280.86
Depot_28,Depot_6,2,496.79,12.98,0,0,0,0.0,0,620.99
Depot_29,Depot_22,2,218.79,14.42,0,0,0,0.0,0,273.49
Depot_29,Depot_3,1,269.79,18.41,0,0,0,0.0,0,252.93
Depot_29,Depot_10,2,388.67,7.15,0,0,0,0.0,0,485.84
Depot_30,Depot_45,1,279.88,17.32,0,0,0,0.0,0,262.39
Depot_30,Depot_35,0,258.35,13.1,0,0,0,0.0,0,193.76
Depot_30,Depot_14,2,172.34,15.41,0,0,0,0.0,0,215.42
Depot_30,Depot_10,1,161.38,10.14,0,0,0,0.0,0,151.29
Depot_31,Depot_28,1,500.03,13.79,0,0,0,0.0,0,468.78
Depot_31,Depot_7,0,439.55,18.84,0,0,0,0.0,0,329.66
Depot_31,Depot_17,1,220.24,6.16,0,0,1,10.8,0,206.48
Depot_31,Depot_20,0,476.34,19.77,1,0,1,10.8,0,357.25
Depot_31,Depot_5,2,612.85,8.41,0,0,0,0.0,0,766.06
Depot_32,Depot_16,0,246.01,5.07,0,0,0,0.0,1,184.51
Depot_32,Depot_25,1,472.2,11.99,0,1,0,0.0,0,442.69
Depot_32,Depot_8,2,17.82,7.11,0,0,0,0.0,1,22.28
Depot_33,Depot_48,0,312.09,16.71,0,0,0,0.0,0,234.07
Depot_33,Depot_15,0,433.74,19.42,0,0,0,0.0,1,325.31
Depot_33,Depot_42,0,258.79,9.49,0,0,0,0.0,0,194.09
Depot_33,Depot_35,1,508.81,8.08,0,0,0,0.0,0,477.01
Depot_33,Depot_30,1,306.02,9.41,0,0,0,0.0,0,286.89
Depot_34,Depot_20,1,245.77,13.39,0,0,1,10.8,1,230.41
Depot_34,Depot_11,1,337.08,9.06,0,0,0,0.0,0,316.01
Depot_34,Depot_24,1,498.67,18.0,0,0,0,0.0,0,467.5
Depot_34,Depot_1,2,476.21,5.3,0,0,0,0.0,0,595.26
Depot_34,Depot_14,2,568.76,15.81,1,1,0,0.0,0,710.95
Depot_35,Depot_25,0,288.56,7.12,0,0,0,0.0,0,216.42
Depot_35,Depot_47,0,133.4,8.12,0,0,0,0.0,0,100.05
Depot_35,Depot_40,1,200.05,18.66,0,0,0,0.0,0,187.55
Depot_35,Depot_20,2,456.2,9.02,0,0,0,0.0,0,570.25
Depot_36,Depot_28,2,313.95,19.23,0,0,1,10.8,0,392.44
Depot_36,Depot_6,1,621.8,12.07,0,0,0,0.0,0,582.94
Depot_36,Depot_38,1,621.36,14.5,0,0,0,0.0,1,582.52
Depot_36,Depot_8,1,245.39,18.51,0,0,0,0.0,0,230.05
Depot_36,Depot_5,1,78.04,13.65,0,0,0,0.0,0,73.16
Depot_37,Depot_42,2,325.21,6.6,0,0,0,0.0,0,406.51
Depot_37,Depot_45,1,392.15,14.01,0,0,1,10.8,0,367.64
Depot_37,Depot_36,1,470.05,12.78,0,0,0,0.0,0,440.67
Depot_37,Depot_27,2,114.73,8.68,0,0,0,0.0,0,143.41
Depot_37,Depot_46,2,84.33,14.16,1,0,1,10.8,0,105.41
Depot_38,Depot_7,0,396.93,9.05,0,0,0,0.0,0,297.7
Depot_38,Depot_8,2,376.27,13.95,0,0,0,0.0,0,470.34
Depot_38,Depot_9,0,247.91,11.19,0,0,0,0.0,0,185.93
Depot_38,Depot_42,1,328.97,16.99,0,0,0,0.0,0,308.41
Depot_39,Depot_25,2,507.91,18.76,0,1,0,0.0,0,634.89
Depot_39,Depot_19,1,265.31,19.37,0,0,0,0.0,0,248.73
Depot_39,Depot_7,1,122.38,19.71,1,0,0,0.0,0,114.73
Depot_39,Depot_29,1,232.83,5.59,0,1,0,0.0,0,218.28
Depot_39,Depot_37,1,369.21,9.69,0,0,0,0.0,0,346.13
Depot_40,Depot_44,2,69.16,19.16,0,0,0,0.0,0,86.45
Depot_40,Depot_3,1,549.57,14.67,0,0,0,0.0,0,515.22
Depot_40,Depot_15,2,267.3,15.44,0,0,0,0.0,0,334.13
Depot_40,Depot_49,0,610.04,13.08,0,0,0,0.0,0,457.53
Depot_41,Depot_18,1,24.04,11.26,0,1,0,0.0,0,22.54
Depot_41,Depot_23,1,220.18,19.09,0,1,0,0.0,0,206.42
Depot_41,Depot_16,0,468.02,5.56,0,0,0,0.0,0,351.01
Depot_42,Depot_33,1,258.79,11.27,0,0,0,0.0,0,242.62
Depot_42,Depot_44,1,390.77,9.46,1,0,0,0.0,0,366.35
Depot_42,Depot_24,0,170.9,19.82,0,0,0,0.0,0,128.18
Depot_43,Depot_39,1,347.47,16.97,0,0,1,10.8,0,325.75
Depot_43,Depot_21,2,481.91,18.56,1,0,0,0.0,0,602.39
Depot_43,Depot_6,0,203.86,14.74,0,0,0,0.0,0,152.9
Depot_43,Depot_3,1,461.37,5.55,1,0,0,0.0,0,432.53
Depot_44,Depot_40,2,69.16,18.26,1,1,0,0.0,0,86.45
Depot_44,Depot_1,1,118.23,12.37,1,0,0,0.0,0,110.84
Depot_44,Depot_22,0,428.86,13.05,0,0,0,0.0,0,321.65
Depot_45,Depot_19,2,398.75,9.09,0,0,1,10.8,0,498.44
Depot_45,Depot_26,2,554.01,14.83,0,0,0,0.0,0,692.51
Depot_45,Depot_11,2,204.99,15.85,0,0,0,0.0,0,256.24
Depot_45,Depot_10,0,428.14,19.87,0,0,0,0.0,1,321.11
Depot_45,Depot_21,2,112.84,10.22,0,0,0,0.0,0,141.05
Depot_46,Depot_18,2,373.84,18.02,0,0,0,0.0,0,467.3
Depot_46,Depot_11,0,325.94,15.46,0,0,0,0.0,0,244.46
Depot_46,Depot_37,2,84.33,19.42,0,0,0,0.0,0,105.41
Depot_46,Depot_19,0,75.2,16.15,0,0,0,0.0,0,56.4
Depot_46,Depot_32,2,320.53,7.9,0,0,0,0.0,0,400.66
Depot_47,Depot_36,1,533.53,14.51,0,0,0,0.0,0,500.18
Depot_47,Depot_6,1,133.16,11.48,1,0,0,0.0,0,124.84
Depot_47,Depot_35,1,133.4,19.06,0,0,0,0.0,0,125.06
Depot_47,Depot_37,1,115.1,15.63,0,0,0,0.0,0,107.91
Depot_47,Depot_17,1,191.19,19.6,1,0,0,0.0,0,179.24
Depot_48,Depot_47,2,168.56,5.98,1,0,0,0.0,0,210.7
Depot_48,Depot_1,2,160.52,11.69,0,1,0,0.0,0,200.65
Depot_48,Depot_24,2,114.62,12.91,1,0,0,0.0,0,143.28
Depot_48,Depot_23,1,147.59,6.97,1,1,0,0.0,0,138.37
Depot_49,Depot_11,2,218.76,11.3,0,0,0,0.0,1,273.45
Depot_49,Depot_25,0,703.78,9.81,0,0,0,0.0,0,527.84
Depot_49,Depot_6,1,541.1,17.97,0,1,0,0.0,0,507.28
