route_id,origin_name,origin_location,origin_latitude,origin_longitude,destination_name,destination_location,destination_latitude,destination_longitude,waypoints_json,waypoint_count,distance_km,estimated_driving_time_hours,total_time_hours,breaks_required,avg_speed_kmh,vehicle_type,vehicle_max_weight_kg,vehicle_height_m,vehicle_width_m,vehicle_length_m,cargo_volume_m3,euro_standard,cargo_weight_kg,load_factor,cargo_type,fuel_consumption_liters,co2_emissions_kg,nox_emissions_g,pm_emissions_g,emissions_per_km_kg,fuel_cost_gbp,driver_cost_gbp,vehicle_cost_gbp,insurance_cost_gbp,maintenance_cost_gbp,caz_cost_gbp,toll_cost_gbp,hgv_levy_gbp,lez_cost_gbp,total_cost_gbp,cost_per_km_gbp,efficiency_score,fuel_efficiency_actual_kmpl,on_time_delivery,customer_satisfaction_1_5,optimization_objective,traffic_delay_minutes,weather_condition,weather_delay_minutes,month,day_of_week,is_peak_season,is_weekend,route_compliant,bridge_restrictions,weight_restrictions,data_source,generation_timestamp,dataset_version
RT000011,Leeds Central,Leeds,53.8008,-1.5491,Trafford Park DC,Manchester,53.4668,-2.3141,[],0,73.6,1.13,1.13,0,65.3,Rigid 4-Axle,32000,3.8,2.5,12,70,Euro V,25666,0.802,metals,22.2,59.49,114.516,2.5965,0.808,32.85,18.6,65.49,8.83,11.04,0,0,10,0,146.8,1.995,73.7,3.31,No,4.5,balanced,40.5,fog,52,2,7,No,Yes,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.429387,2
RT000012,Bristol Port,Bristol,51.5103,-2.7139,Hull Port,Hull,53.7333,-0.3167,"[{""lat"": 51.9528, ""lon"": -0.5286, ""name"": ""Toddington Services"", ""type"": ""service_area""}]",1,456.1,8.28,9.03,1,55.1,Rigid 4-Axle,32000,3.8,2.5,12,70,Euro V,21703,0.678,paper,141.74,379.86,874.321,17.0243,0.833,209.78,149.04,405.89,54.73,68.41,0,22.83,10,0,920.67,2.019,58.74,3.22,Yes,4.8,greenest,0,clear,0,5,6,No,Yes,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.429529,2
RT000013,Liverpool Port,Liverpool,53.4053,-2.9977,Omega Warrington,Warrington,53.429,-2.6542,[],0,28.9,0.5,0.5,0,58.1,Articulated 5-Axle,40000,4,2.55,16.5,90,Euro VI,16568,0.414,paper,9.67,25.93,56.803,1.0368,0.898,14.32,8.19,25.69,3.46,4.33,0,0,10,0,65.99,2.286,83.15,2.98,Yes,4.5,balanced,32.9,cloudy,0,11,2,Yes,No,No,Height 3.8m,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.429658,2
RT000014,Edinburgh Hub,Edinburgh,55.9533,-3.1883,Grimsby Port,Grimsby,53.575,-0.075,"[{""lat"": 54.0469, ""lon"": -2.801, ""name"": ""Lancaster"", ""type"": ""intermediate""}, {""lat"": 53.96, ""lon"": -1.0873, ""name"": ""York"", ""type"": ""intermediate""}, {""lat"": 53.39, ""lon"": -2.597, ""name"": ""Warrington"", ""type"": ""intermediate""}]",3,737.9,12.76,14.26,2,57.8,Rigid 4-Axle,32000,3.8,2.5,12,70,Euro V,30303,0.947,construction,235.18,630.29,1272.477,16.281,0.854,348.07,235.26,656.71,88.54,110.68,0,21.85,10,0,1471.11,1.994,88.6,3.14,Yes,4.8,fastest,0,fog,53,2,7,No,Yes,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.429818,2
RT000015,Teesport,Middlesbrough,54.6233,-1.1723,East Midlands Gateway,Castle Donington,52.8313,-1.3283,"[{""lat"": 53.3258, ""lon"": -1.2031, ""name"": ""Woodall Services"", ""type"": ""service_area""}, {""lat"": 53.0027, ""lon"": -2.1794, ""name"": ""Stoke-on-Trent"", ""type"": ""intermediate""}]",2,348.1,5.4,6.15,1,64.5,Rigid 2-Axle,18000,3.5,2.5,10,50,Euro VI,7704,0.428,textiles,98.95,265.18,539.351,10.0066,0.762,146.44,101.42,309.8,41.77,52.21,0,15.13,10,0,676.78,1.944,58.49,3.52,Yes,4.2,fastest,0,clear,0,6,3,No,No,No,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.429971,2
RT000016,Bristol DC,Bristol,51.4545,-2.5879,ProLogis Park DC,Birmingham,52.5031,-1.7764,"[{""lat"": 51.752, ""lon"": -1.2577, ""name"": ""Oxford"", ""type"": ""intermediate""}, {""lat"": 52.4228, ""lon"": -2.0208, ""name"": ""Frankley Services"", ""type"": ""service_area""}, {""lat"": 52.5861, ""lon"": -2.1289, ""name"": ""Wolverhampton"", ""type"": ""intermediate""}]",3,312.4,5.31,6.06,1,58.9,Articulated 6-Axle,44000,4,2.55,16.5,100,Euro VI,26565,0.604,food,94,251.91,440.966,11.5921,0.806,139.12,99.92,278.04,37.49,46.86,0,17.09,10,0,628.51,2.012,83.03,3.32,Yes,4.8,greenest,0,clear,0,11,7,Yes,Yes,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.430120,2
RT000017,Magna Park DC,Lutterworth,52.4372,-1.1986,Nottingham Hub,Nottingham,52.9548,-1.1581,"[{""lat"": 52.5861, ""lon"": -1.2125, ""name"": ""M1/M6 Junction"", ""type"": ""junction""}, {""lat"": 52.6167, ""lon"": -1.1667, ""name"": ""Leicester Forest East"", ""type"": ""service_area""}]",2,77.2,1.11,1.11,0,69.4,Articulated 6-Axle,44000,4,2.55,16.5,100,Euro VI,35930,0.817,plastics,22.19,59.46,94.643,2.7393,0.77,32.83,18.37,68.75,9.27,11.59,0,0,10,0,150.81,1.952,57.3,3.48,Yes,4.2,fastest,0,clear,0,3,5,No,No,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.430258,2
RT000018,Glasgow Central,Glasgow,55.8642,-4.2518,Cardiff Bay,Cardiff,51.4816,-3.1791,"[{""lat"": 53.3258, ""lon"": -1.2031, ""name"": ""Woodall Services"", ""type"": ""service_area""}, {""lat"": 52.4068, ""lon"": -1.5197, ""name"": ""Coventry"", ""type"": ""intermediate""}]",2,761.1,12.65,14.15,2,60.1,Rigid 2-Axle,18000,3.5,2.5,10,50,Euro VI,9729,0.541,plastics,252.3,676.17,1161.806,19.8207,0.888,373.41,233.56,677.42,91.34,114.17,0,24.24,10,0,1524.13,2.002,61.24,3.02,Yes,5,fastest,0,light_rain,0,9,1,No,No,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.430401,2
RT000019,Bristol Port,Bristol,51.5103,-2.7139,Portsmouth Port,Portsmouth,50.8025,-1.1088,"[{""lat"": 51.5558, ""lon"": -1.7797, ""name"": ""Swindon"", ""type"": ""intermediate""}, {""lat"": 51.4543, ""lon"": -0.9781, ""name"": ""Reading"", ""type"": ""intermediate""}]",2,236.9,3.72,3.72,0,63.7,Rigid 2-Axle,18000,3.5,2.5,10,50,Euro VI,10946,0.608,electronics,68.88,184.6,312.593,6.5635,0.779,101.94,61.31,210.81,28.42,35.53,0,0,10,0,448.02,1.891,76.45,3.44,Yes,4.8,cheapest,8.7,clear,0,1,3,No,No,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.430536,2
RT000020,Portsmouth Port,Portsmouth,50.8025,-1.1088,iPort Doncaster,Doncaster,53.4939,-1.0042,"[{""lat"": 52.3333, ""lon"": -0.25, ""name"": ""A1/A14 Junction"", ""type"": ""junction""}, {""lat"": 52.9226, ""lon"": -1.4746, ""name"": ""Derby"", ""type"": ""intermediate""}]",2,424.2,6.92,7.67,1,61.3,Articulated 6-Axle,44000,4,2.55,16.5,100,Euro VI,33077,0.752,retail,143.66,385.01,681.232,11.1118,0.908,212.62,126.48,377.58,50.91,63.64,0,15.25,10,0,856.48,2.019,72.3,2.95,Yes,4.8,greenest,0,cloudy,0,10,2,No,No,Yes,None,26t limit,Synthetic - UK Logistics Research,2025-07-10T12:44:22.430679,2
RT000021,Southampton Port,Southampton,50.8957,-1.3958,London Central,London,51.5074,-0.1278,"[{""lat"": 51.4736, ""lon"": -0.5083, ""name"": ""M25 J15 (M4)"", ""type"": ""junction""}]",1,149.5,2.35,2.35,0,63.7,Rigid 2-Axle,18000,3.5,2.5,10,50,Euro VI,9489,0.527,chemicals,42.68,114.39,274.437,5.0498,0.765,63.17,38.7,133.07,17.94,22.43,50,0,10,100,435.31,2.911,93.57,3.5,No,5,greenest,19.5,cloudy,0,1,4,No,No,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.430813,2
RT000022,Nottingham Hub,Nottingham,52.9548,-1.1581,Portsmouth Port,Portsmouth,50.8025,-1.1088,"[{""lat"": 52.6336, ""lon"": -1.691, ""name"": ""Tamworth"", ""type"": ""intermediate""}, {""lat"": 53.0027, ""lon"": -2.1794, ""name"": ""Stoke-on-Trent"", ""type"": ""intermediate""}, {""lat"": 52.4228, ""lon"": -2.0208, ""name"": ""Frankley Services"", ""type"": ""service_area""}, {""lat"": 52.2053, ""lon"": 0.1218, ""name"": ""Cambridge"", ""type"": ""intermediate""}]",4,577.4,8.69,9.44,1,66.4,Articulated 5-Axle,40000,4,2.55,16.5,90,Euro VI,19041,0.476,textiles,162.6,435.77,1143.191,21.1474,0.755,240.65,155.79,513.86,69.28,86.61,0,0.19,10,0,1076.38,1.864,75.59,3.55,Yes,4.5,balanced,0,light_rain,0,3,3,Yes,No,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.430974,2
RT000023,Doncaster iPort,Doncaster,53.5031,-1.0478,Teesport,Middlesbrough,54.6233,-1.1723,"[{""lat"": 53.7297, ""lon"": -1.6653, ""name"": ""M62 J26 Chain Bar"", ""type"": ""junction""}, {""lat"": 53.96, ""lon"": -1.0873, ""name"": ""York"", ""type"": ""intermediate""}]",2,224.3,3.86,3.86,0,58.2,Rigid 4-Axle,32000,3.8,2.5,12,70,Euro V,14177,0.443,machinery,63.57,170.36,361.254,7.1287,0.759,94.08,63.61,199.63,26.92,33.65,0,0,10,0,427.89,1.908,73.77,3.53,Yes,4.5,cheapest,37.6,fog,33,4,1,No,No,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.431124,2
RT000024,Southampton Port,Southampton,50.8957,-1.3958,Birmingham Central,Birmingham,52.4862,-1.8904,"[{""lat"": 52.0406, ""lon"": -0.7594, ""name"": ""Milton Keynes"", ""type"": ""intermediate""}, {""lat"": 52.4228, ""lon"": -2.0208, ""name"": ""Frankley Services"", ""type"": ""service_area""}]",2,312,5.21,5.96,1,59.8,Articulated 5-Axle,40000,4,2.55,16.5,90,Euro VI,26908,0.673,plastics,93.12,249.55,418.907,9.093,0.8,137.81,98.39,277.65,37.44,46.8,100,15.07,10,0,723.16,2.318,63.11,3.35,Yes,4,fastest,0,snow,55,12,1,Yes,No,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.431274,2
RT000025,Cardiff Bay,Cardiff,51.4816,-3.1791,Liverpool Port,Liverpool,53.4053,-2.9977,"[{""lat"": 52.5861, ""lon"": -2.1289, ""name"": ""Wolverhampton"", ""type"": ""intermediate""}, {""lat"": 52.8066, ""lon"": -2.1167, ""name"": ""Stafford"", ""type"": ""intermediate""}, {""lat"": 53.2989, ""lon"": -2.4144, ""name"": ""Knutsford Services"", ""type"": ""service_area""}]",3,328.2,5.26,6.01,1,62.4,Rigid 4-Axle,32000,3.8,2.5,12,70,Euro V,29030,0.907,construction,100.7,269.89,488.395,9.6029,0.822,149.04,99.15,292.12,39.39,49.23,0,8.86,10,0,647.8,1.974,86.81,3.26,Yes,4.8,greenest,0,clear,0,7,4,No,No,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.431417,2
RT000026,Omega Warrington,Warrington,53.429,-2.6542,Edinburgh Hub,Edinburgh,55.9533,-3.1883,"[{""lat"": 53.7632, ""lon"": -2.7031, ""name"": ""Preston"", ""type"": ""intermediate""}, {""lat"": 53.3258, ""lon"": -1.2031, ""name"": ""Woodall Services"", ""type"": ""service_area""}]",2,564.7,8.74,9.49,1,64.6,Rigid 3-Axle,26000,3.8,2.5,12,65,Euro VI,21783,0.838,plastics,179.73,481.68,811.034,12.3209,0.853,266,156.65,502.6,67.77,84.71,0,20.6,10,0,1108.33,1.963,92.67,3.14,Yes,4.8,fastest,13.3,light_rain,0,5,1,No,No,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.431557,2
RT000027,Doncaster iPort,Doncaster,53.5031,-1.0478,Southampton Port,Southampton,50.8957,-1.3958,"[{""lat"": 52.6167, ""lon"": -1.1667, ""name"": ""Leicester Forest East"", ""type"": ""service_area""}, {""lat"": 52.5861, ""lon"": -2.1289, ""name"": ""Wolverhampton"", ""type"": ""intermediate""}, {""lat"": 52.3539, ""lon"": -2.0644, ""name"": ""Hopwood Park"", ""type"": ""service_area""}]",3,463,7.82,8.57,1,59.2,Rigid 3-Axle,26000,3.8,2.5,12,65,Euro VI,19961,0.768,construction,156.87,420.41,877.108,16.5215,0.908,232.17,141.33,412.05,55.56,69.45,0,18.61,10,0,939.16,2.028,65.69,2.95,Yes,4.8,balanced,0,fog,46,4,2,No,No,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.431706,2
RT000028,Bristol DC,Bristol,51.4545,-2.5879,DIRFT Daventry,Daventry,52.2574,-1.1606,"[{""lat"": 52.4068, ""lon"": -1.5197, ""name"": ""Coventry"", ""type"": ""intermediate""}]",1,198.1,3.6,3.6,0,55.1,Articulated 6-Axle,44000,4,2.55,16.5,100,Euro VI,27240,0.619,automotive,67.7,181.45,286.996,4.0193,0.916,100.2,59.35,176.28,23.77,29.71,100,0,10,0,499.31,2.521,61.56,2.93,No,4.5,greenest,44.9,clear,0,4,6,No,Yes,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.431842,2
RT000029,Magna Park DC,Lutterworth,52.4372,-1.1986,East Midlands Gateway,Castle Donington,52.8313,-1.3283,"[{""lat"": 52.5861, ""lon"": -1.2125, ""name"": ""M1/M6 Junction"", ""type"": ""junction""}]",1,55.9,0.92,0.92,0,60.5,Rigid 4-Axle,32000,3.8,2.5,12,70,Euro V,26286,0.821,chemicals,18.66,50,73.934,1.7637,0.895,27.61,15.24,49.73,6.71,8.38,0,0,10,0,117.66,2.106,79.3,2.99,Yes,4.8,cheapest,14.8,clear,0,7,7,No,Yes,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.431984,2
RT000030,Omega Warrington,Warrington,53.429,-2.6542,Nottingham Hub,Nottingham,52.9548,-1.1581,"[{""lat"": 53.1935, ""lon"": -2.8938, ""name"": ""Chester"", ""type"": ""intermediate""}, {""lat"": 52.8066, ""lon"": -2.1167, ""name"": ""Stafford"", ""type"": ""intermediate""}, {""lat"": 53.3258, ""lon"": -1.2031, ""name"": ""Woodall Services"", ""type"": ""service_area""}]",3,290.1,4.41,4.41,0,65.8,Rigid 4-Axle,32000,3.8,2.5,12,70,Euro V,23728,0.742,retail,96.73,259.23,410.45,6.8555,0.894,143.15,72.72,258.2,34.81,43.52,0,0,10,0,562.41,1.939,81.26,3,Yes,4.8,cheapest,0,cloudy,0,1,2,No,No,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.432131,2
RT000031,Sheffield Hub,Sheffield,53.3811,-1.4701,Grimsby Port,Grimsby,53.575,-0.075,"[{""lat"": 53.1417, ""lon"": -1.3389, ""name"": ""Tibshelf Services"", ""type"": ""service_area""}]",1,161,2.57,2.57,0,62.7,Rigid 4-Axle,32000,3.8,2.5,12,70,Euro V,17373,0.543,textiles,54.69,146.58,282.502,6.3073,0.911,80.94,42.37,143.25,19.32,24.14,0,0,10,0,320.03,1.988,57.51,2.94,Yes,4,greenest,0,clear,0,12,1,Yes,No,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.432263,2
RT000032,Magna Park DC,Lutterworth,52.4372,-1.1986,iPort Doncaster,Doncaster,53.4939,-1.0042,"[{""lat"": 52.2405, ""lon"": -0.9027, ""name"": ""Northampton"", ""type"": ""intermediate""}]",1,203.8,3.21,3.21,0,63.6,Articulated 6-Axle,44000,4,2.55,16.5,100,Euro VI,21338,0.485,paper,71.14,190.64,332.028,5.9134,0.935,105.28,52.92,181.4,24.46,30.57,0,0,10,0,404.64,1.985,83.22,2.87,Yes,4,balanced,0,clear,0,8,7,No,Yes,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.432396,2
RT000033,Newcastle Hub,Newcastle,54.9783,-1.6178,Glasgow Central,Glasgow,55.8642,-4.2518,"[{""lat"": 55.8575, ""lon"": -4.2208, ""name"": ""M8/M74 Junction"", ""type"": ""junction""}]",1,239.5,3.75,3.75,0,63.8,Rigid 3-Axle,26000,3.8,2.5,12,65,Euro VI,17954,0.691,food,76.55,205.15,352.06,8.7639,0.856,113.29,61.94,213.18,28.74,35.93,0,0,10,0,463.08,1.933,68.13,3.13,Yes,4.8,fastest,0,cloudy,0,6,7,No,Yes,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.432526,2
RT000034,Liverpool Port,Liverpool,53.4053,-2.9977,Manchester Central,Manchester,53.4808,-2.2426,"[{""lat"": 53.6308, ""lon"": -2.6969, ""name"": ""Charnock Richard"", ""type"": ""service_area""}, {""lat"": 53.2989, ""lon"": -2.4144, ""name"": ""Knutsford Services"", ""type"": ""service_area""}]",2,116.5,1.88,1.88,0,61.9,Rigid 2-Axle,18000,3.5,2.5,10,50,Euro VI,11624,0.646,retail,34.64,92.84,155.887,2.6736,0.797,51.27,31.06,103.7,13.98,17.48,0,0,10,0,227.49,1.952,60.88,3.36,Yes,5,greenest,21.6,clear,0,1,5,No,No,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.432671,2
RT000035,Omega Warrington,Warrington,53.429,-2.6542,London Central,London,51.5074,-0.1278,"[{""lat"": 52.8066, ""lon"": -2.1167, ""name"": ""Stafford"", ""type"": ""intermediate""}, {""lat"": 53.96, ""lon"": -1.0873, ""name"": ""York"", ""type"": ""intermediate""}, {""lat"": 52.2405, ""lon"": -0.9027, ""name"": ""Northampton"", ""type"": ""intermediate""}]",3,685.9,10.57,12.07,2,64.9,Rigid 2-Axle,18000,3.5,2.5,10,50,Euro VI,8643,0.48,electronics,195.08,522.82,965.186,21.3186,0.762,288.72,199.19,610.46,82.31,102.89,50,4.97,10,100,1448.55,2.112,64.51,3.52,No,3.5,balanced,0,cloudy,0,2,4,No,No,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.433215,2
RT000036,Leeds Central,Leeds,53.8008,-1.5491,Newcastle Hub,Newcastle,54.9783,-1.6178,"[{""lat"": 53.9444, ""lon"": -1.3847, ""name"": ""Wetherby Services"", ""type"": ""service_area""}, {""lat"": 53.96, ""lon"": -1.0873, ""name"": ""York"", ""type"": ""intermediate""}, {""lat"": 54.4033, ""lon"": -1.6622, ""name"": ""A1 Scotch Corner"", ""type"": ""junction""}]",3,203.5,2.95,2.95,0,69.1,Articulated 6-Axle,44000,4,2.55,16.5,100,Euro VI,36953,0.84,chemicals,70.32,188.46,277.08,7.9755,0.926,104.07,48.63,181.12,24.42,30.53,0,0,10,0,398.77,1.959,64.32,2.89,Yes,4.8,fastest,0,light_rain,0,4,2,No,No,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.433371,2
